No.,Token,Subj case,Register,Speaker age,Lexeme,Speaker,Item
1,daami,nom,1,1,Old Norse,johannaogjanus,like
2,daami,nom,1,1,Old Norse,johannaogjanus,like
3,daami,nom,1,1,Old Norse,johannaogjanus,like
4,daami,nom,1,1,Old Norse,johannaogjanus,like
5,daami,nom,1,1,Old Norse,johannaogjanus,like
6,daami,nom,1,1,Old Norse,johannaogjanus,like
7,daami,nom,1,1,Old Norse,johannaogjanus,like
8,daami,nom,1,1,Old Norse,johannaogjanus,like
9,daamar,nom,4,4,Old Norse,kristindomur-svarar,like
10,daamar,dat,2,2,Old Norse,roskur,like
11,daamar,dat,2,2,Old Norse,roskur,like
12,daamar,dat,2,2,Old Norse,roskur,like
13,daamar,dat,4,5,Old Norse,elinbrimheimheinesen,like
14,daamar,dat,4,5,Old Norse,elinbrimheimheinesen,like
15,daamar,dat,3,5,Old Norse,hugarok,like
16,daamar,dat,3,5,Old Norse,hugarok,like
17,daamar,dat,4,4,Old Norse,samalsdiary,like
18,daamar,dat,4,4,Old Norse,samalsdiary,like
19,daamar,dat,4,4,Old Norse,samalsdiary,like
20,daamar,dat,4,4,Old Norse,samalsdiary,like
21,daamar,nom,4,4,Old Norse,samalsdiary,like
22,daamar,dat,4,4,Old Norse,samalsdiary,like
23,daamar,dat,2,1,Old Norse,sorenarson,like
24,daamar,dat,2,1,Old Norse,sorenarson,like
25,daamar,dat,2,1,Old Norse,sorenarson,like
26,daamar,dat,4,5,Old Norse,dalsbygd,like
27,daamar,dat,4,5,Old Norse,dalsbygd,like
28,daamar,dat,4,5,Old Norse,dalsbygd,like
29,daamar,dat,4,5,Old Norse,dalsbygd,like
30,daamar,dat,4,5,Old Norse,dalsbygd,like
31,daamar,dat,4,5,Old Norse,dalsbygd,like
32,daamar,dat,1,1,Old Norse,fridasvein,like
33,daamar,dat,1,1,Old Norse,fridasvein,like
34,daamar,dat,1,1,Old Norse,fridasvein,like
35,daamar,dat,5,4,Old Norse,listinblog,like
36,daamar,dat,5,4,Old Norse,listinblog,like
37,daamar,dat,5,4,Old Norse,listinblog,like
38,daamar,dat,5,4,Old Norse,listinblog,like
39,daamar,dat,5,4,Old Norse,listinblog,like
40,daamar,dat,5,4,Old Norse,listinblog,like
41,daamar,dat,5,4,Old Norse,listinblog,like
42,daamar,dat,5,4,Old Norse,listinblog,like
43,daamar,dat,5,4,Old Norse,listinblog,like
44,daamar,dat,5,4,Old Norse,listinblog,like
45,daamar,dat,5,4,Old Norse,listinblog,like
46,daamar,dat,5,4,Old Norse,listinblog,like
47,daamar,dat,5,4,Old Norse,listinblog,like
